init:
1    0000.000 2620.512 3262.418 5513.590 10000 10000
2    3000.000 2654.530 3361.051 5695.117 10000 10000
3    6000.000 2675.557 3418.171 5801.898 10000 10000
4    9000.000 2689.022 3453.379 5868.278 10000 10000
5   12000.000 2700.540 3482.714 5923.895 10000 10000
6   15000.000 2717.385 3524.405 6003.396 10000 10000
7   18000.000 2732.000 3559.495 6070.703 10000 10000
8   21000.000 2746.611 3593.641 6136.523 10000 10000
9   24000.000 2763.873 3632.877 6212.516 10000 10000
10  27000.000 2786.861 3683.416 6310.923 10000 10000
11  30000.000 2820.036 3753.290 6447.811 10000 10000
12  33000.000 2866.518 3846.009 6630.604 10000 10000
13  36000.000 2919.492 3945.644 6827.917 10000 10000
14  39000.000 2974.603 4043.887 7022.684 10000 10000
15  42000.000 3029.589 4137.606 7207.975 10000 10000
16  45000.000 3082.469 4224.603 7378.911 10000 10000
17  48000.000 3130.665 4301.844 7529.327 10000 10000
18  51000.000 3171.795 4366.597 7654.106 10000 10000
19  54000.000 3202.939 4415.095 7746.604 10000 10000
20  57000.000 3219.284 4440.408 7794.511 10000 10000
21  60000.000 3218.553 4439.279 7792.378 10000 10000
22  65000.000 3210.899 4427.432 7769.986 10000 10000
23  70000.000 3201.357 4412.640 7741.943 10000 10000
24  75000.000 3191.395 4397.163 7712.509 10000 10000
25  80000.000 3181.444 4381.665 7682.940 10000 10000
26  85000.000 3172.303 4367.391 7655.627 10000 10000
27  90000.000 3164.430 4355.067 7631.989 10000 10000
28  95000.000 3157.809 4344.678 7612.022 10000 10000
29 100000.000 3152.360 4336.113 7595.532 10000 10000
30 110000.000 3147.870 4329.042 7581.901 10000 10000
31 120000.000 3143.758 4322.557 7569.386 10000 10000
32 130000.000 3139.442 4315.741 7556.218 10000 10000
33 140000.000 3135.643 4309.732 7544.596 10000 10000
34 150000.000 3133.173 4305.820 7537.025 10000 10000
35 170000.000 3130.101 4300.949 7527.593 10000 10000
36 190000.000 3122.745 4289.263 7504.933 10000 10000
